column,count,mean,std,min,25%,50%,75%,max,IQR,skewness,kurtosis,CV_pct
molecular_weight,2000.0,456.7722,104.8747,50.3071,388.7475,454.8691,520.9829,994.0485,132.2354,0.1652,0.96,23.0
logp,1940.0,3.4795,1.6386,-4.3252,2.4195,3.5014,4.5188,9.9785,2.0993,-0.1359,1.305,47.1
h_bond_donors,2000.0,1.961,1.3481,0.0,1.0,2.0,3.0,8.0,2.0,0.5652,0.1477,68.7
h_bond_acceptors,2000.0,5.115,2.331,0.0,3.0,5.0,7.0,15.0,4.0,0.4852,0.1238,45.6
rotatable_bonds,2000.0,5.9685,2.4078,0.0,4.0,6.0,7.0,17.0,3.0,0.5,0.4189,40.3
polar_surface_area,1940.0,80.0265,25.3449,-24.6537,63.1662,80.6066,97.3665,159.6274,34.2003,-0.124,-0.0877,31.7
compound_clogp,2000.0,2.8134,1.1886,-1.4262,2.006,2.7736,3.6203,6.8917,1.6143,0.0653,0.0169,42.2
protein_length,2000.0,848.926,380.8378,201.0,509.5,844.0,1192.0,1499.0,682.5,0.0091,-1.2283,44.9
protein_pi,2000.0,6.4603,1.2102,2.5976,5.6151,6.4735,7.2708,10.2669,1.6557,-0.0052,-0.1142,18.7
hydrophobicity,1940.0,0.6453,0.0954,0.332,0.578,0.6475,0.7114,0.978,0.1334,-0.0071,-0.1185,14.8
binding_site_size,2000.0,15.156,2.9978,4.6559,13.1448,15.2378,17.1845,24.8877,4.0396,-0.0491,0.0819,19.8
mw_ratio,2000.0,0.709,0.4756,0.0978,0.3838,0.532,0.8672,3.4037,0.4834,1.6817,2.8236,67.1
logp_pi_interaction,2000.0,22.5983,10.9182,-6.6246,14.826,21.8589,29.5262,76.9987,14.7002,0.4481,0.4928,48.3
binding_affinity,2000.0,6.5312,1.1946,1.9904,5.8561,6.4803,7.1647,15.0397,1.3086,0.6736,5.3339,18.3
