protein_id,n_compounds,mean_affinity,active_rate
PID_131,11,5.839,0.0
PID_170,11,6.6775,0.4545
PID_286,10,6.7641,0.3
PID_226,10,6.4694,0.3
PID_125,10,6.276,0.4
PID_371,10,6.5489,0.2
PID_237,10,6.4961,0.4
PID_375,10,6.3178,0.2
PID_464,10,6.4802,0.3
PID_288,10,6.7664,0.4
PID_483,9,6.7435,0.4444
PID_358,9,6.3995,0.2222
PID_213,9,6.6282,0.3333
PID_147,9,6.5557,0.3333
PID_333,9,6.9315,0.4444
PID_128,9,6.7268,0.3333
PID_227,9,6.9147,0.4444
PID_126,9,6.3048,0.4444
PID_290,9,5.9921,0.1111
PID_254,9,6.5516,0.3333
PID_402,9,6.3327,0.3333
PID_268,9,6.517,0.2222
PID_168,9,6.0754,0.2222
PID_317,8,6.3479,0.25
PID_216,8,6.574,0.375
PID_363,8,6.487,0.375
PID_189,8,6.2977,0.375
PID_343,8,6.5056,0.25
PID_413,8,7.5719,0.625
PID_364,8,6.2282,0.0
PID_291,8,6.6017,0.375
PID_145,8,6.7966,0.625
PID_190,8,6.1725,0.5
PID_208,8,6.9467,0.5
PID_349,8,6.4367,0.25
PID_374,8,6.2137,0.25
PID_448,8,6.9884,0.5
PID_367,8,6.6029,0.375
PID_164,8,6.6796,0.375
PID_179,8,7.3633,0.375
PID_460,8,6.2154,0.125
PID_479,8,6.3514,0.25
PID_236,8,6.5328,0.375
PID_482,8,7.1354,0.375
PID_457,8,6.4251,0.375
PID_329,8,6.677,0.25
PID_424,8,6.3042,0.25
PID_477,7,6.4014,0.0
PID_355,7,5.8501,0.1429
PID_359,7,6.7486,0.4286
PID_183,7,6.3459,0.1429
PID_285,7,6.496,0.4286
PID_225,7,6.9317,0.4286
PID_422,7,6.1565,0.0
PID_320,7,7.6074,0.5714
PID_293,7,5.6663,0.1429
PID_278,7,7.0273,0.4286
PID_275,7,6.7211,0.2857
PID_449,7,6.9883,0.4286
PID_308,7,6.864,0.4286
PID_260,7,6.5953,0.1429
PID_313,7,6.3538,0.0
PID_315,7,6.8019,0.5714
PID_324,7,6.4757,0.4286
PID_471,7,6.3268,0.1429
PID_242,7,6.8588,0.2857
PID_232,7,6.7922,0.4286
PID_459,7,6.0753,0.1429
PID_337,7,6.1289,0.0
PID_224,7,6.4249,0.4286
PID_339,7,5.7193,0.1429
PID_428,7,6.8295,0.2857
PID_347,7,6.8495,0.4286
PID_480,7,6.1734,0.1429
PID_192,7,6.8005,0.4286
PID_132,7,6.6403,0.2857
PID_108,7,7.2337,0.7143
PID_494,7,6.1527,0.1429
PID_146,7,6.1613,0.1429
PID_414,7,6.8283,0.1429
PID_493,7,6.685,0.2857
PID_129,7,6.4512,0.2857
PID_140,7,6.0046,0.1429
PID_376,7,7.3781,0.4286
PID_405,7,6.0148,0.2857
PID_368,7,6.3889,0.2857
PID_173,7,6.3581,0.1429
PID_366,7,6.589,0.4286
PID_395,7,6.1769,0.0
PID_103,7,6.5781,0.2857
PID_409,7,7.1663,0.5714
PID_394,6,7.1595,0.5
PID_430,6,6.3237,0.3333
PID_331,6,5.254,0.0
PID_389,6,6.0325,0.1667
PID_174,6,6.7484,0.3333
PID_240,6,6.284,0.5
PID_134,6,6.5507,0.3333
PID_244,6,6.4069,0.1667
PID_489,6,7.115,0.3333
PID_323,6,6.8149,0.3333
PID_434,6,6.172,0.1667
PID_431,6,6.6379,0.1667
PID_255,6,6.7141,0.3333
PID_319,6,6.3439,0.3333
PID_112,6,6.7443,0.3333
PID_446,6,6.68,0.3333
PID_276,6,6.6221,0.3333
PID_498,6,6.995,0.6667
PID_443,6,5.8243,0.1667
PID_273,6,6.0172,0.0
PID_110,6,6.0722,0.0
PID_269,6,6.3761,0.1667
PID_299,6,6.0831,0.0
PID_316,6,6.0464,0.1667
PID_401,6,5.7115,0.0
PID_263,6,7.7492,0.5
PID_261,6,6.4464,0.1667
PID_312,6,6.4857,0.1667
PID_257,6,7.3473,0.6667
PID_417,6,6.3345,0.1667
PID_117,6,6.5929,0.3333
PID_384,6,5.6483,0.1667
PID_365,6,6.8811,0.3333
PID_411,6,6.225,0.5
PID_148,6,6.7969,0.3333
PID_159,6,6.4912,0.1667
PID_351,6,5.9362,0.1667
PID_418,6,7.5574,0.3333
PID_203,6,6.409,0.0
PID_151,6,6.3965,0.3333
PID_152,6,5.9599,0.0
PID_200,6,6.7166,0.3333
PID_139,6,5.9214,0.3333
PID_199,6,6.5483,0.3333
PID_188,6,7.4108,0.5
PID_472,6,7.1267,0.3333
PID_197,6,6.7724,0.5
PID_377,6,6.4782,0.1667
PID_354,6,6.5361,0.1667
PID_474,6,6.2628,0.1667
PID_356,6,5.7998,0.1667
PID_194,6,6.3169,0.3333
PID_160,6,6.6035,0.3333
PID_149,6,5.5432,0.0
PID_382,6,6.6918,0.1667
PID_485,6,6.2868,0.1667
PID_167,6,6.5884,0.3333
PID_429,6,7.1866,0.3333
PID_341,6,6.6329,0.3333
PID_182,6,5.9205,0.0
PID_219,6,7.3213,0.6667
PID_426,6,6.2765,0.1667
PID_154,6,7.196,0.5
PID_369,6,6.9114,0.5
PID_144,6,7.2359,0.6667
PID_361,6,6.5068,0.1667
PID_346,6,6.9786,0.5
PID_211,6,6.3167,0.1667
PID_465,6,6.9339,0.3333
PID_406,5,6.242,0.2
PID_419,5,6.7041,0.2
PID_296,5,6.4713,0.4
PID_421,5,8.7212,0.6
PID_298,5,6.587,0.4
PID_410,5,6.2307,0.0
PID_378,5,6.4468,0.4
PID_338,5,6.4173,0.2
PID_101,5,6.9286,0.6
PID_392,5,6.0598,0.2
PID_386,5,6.4589,0.2
PID_387,5,6.4855,0.4
PID_416,5,5.5053,0.2
PID_335,5,6.3406,0.2
PID_381,5,7.0231,0.4
PID_390,5,6.7178,0.4
PID_328,5,6.4586,0.4
PID_309,5,6.5266,0.2
PID_425,5,7.0715,0.4
PID_322,5,7.2308,0.4
PID_399,5,7.4562,0.4
PID_311,5,7.8831,1.0
PID_400,5,7.3436,0.6
PID_310,5,5.5881,0.0
PID_396,5,6.4708,0.2
PID_300,5,6.9149,0.4
PID_207,5,6.7632,0.4
PID_462,5,6.7269,0.4
PID_181,5,7.6899,0.8
PID_184,5,5.9061,0.2
PID_185,5,6.2334,0.4
PID_187,5,6.8963,0.6
PID_191,5,6.3377,0.2
PID_475,5,6.6115,0.4
PID_461,5,6.5758,0.2
PID_175,5,6.0415,0.2
PID_222,5,6.6977,0.4
PID_223,5,6.9741,0.4
PID_231,5,6.8539,0.2
PID_458,5,6.1106,0.0
PID_235,5,6.8915,0.6
PID_241,5,7.1208,0.6
PID_178,5,6.6342,0.2
PID_172,5,6.5211,0.4
PID_247,5,6.4545,0.2
PID_121,5,5.9203,0.0
PID_102,5,7.1432,0.6
PID_105,5,7.2445,0.6
PID_107,5,6.4056,0.2
PID_496,5,6.137,0.4
PID_116,5,4.9599,0.0
PID_495,5,6.1137,0.2
PID_492,5,7.5057,0.6
PID_171,5,6.3285,0.2
PID_491,5,6.7422,0.6
PID_136,5,6.5963,0.2
PID_150,5,6.3301,0.0
PID_157,5,6.2333,0.0
PID_161,5,6.9599,0.4
PID_163,5,5.5852,0.2
PID_245,5,6.221,0.2
PID_256,5,6.3734,0.2
PID_266,5,6.7513,0.4
PID_412,5,6.1075,0.0
PID_250,5,5.9591,0.2
PID_265,5,5.5436,0.0
PID_455,5,6.3712,0.2
PID_271,5,6.1953,0.2
PID_453,5,6.4165,0.2
PID_259,5,6.6563,0.2
PID_248,4,6.9492,0.5
PID_141,4,6.3936,0.25
PID_487,4,7.4237,0.5
PID_135,4,7.158,0.75
PID_297,4,6.0758,0.0
PID_385,4,6.9999,0.5
PID_138,4,6.5115,0.5
PID_380,4,6.158,0.0
PID_142,4,6.3082,0.0
PID_153,4,7.093,0.75
PID_155,4,6.7479,0.25
PID_158,4,7.7738,0.5
PID_373,4,6.2113,0.0
PID_372,4,5.4365,0.0
PID_162,4,6.2423,0.25
PID_490,4,6.3726,0.25
PID_444,4,6.0693,0.0
PID_391,4,6.5718,0.5
PID_274,4,7.1455,0.75
PID_283,4,6.9798,0.75
PID_104,4,6.1155,0.5
PID_408,4,7.3312,0.5
PID_289,4,6.5713,0.25
PID_106,4,6.2957,0.0
PID_404,4,6.7341,0.5
PID_403,4,5.4849,0.25
PID_111,4,6.6646,0.5
