column,pearson_vs_affinity,spearman_vs_affinity,point_biserial_vs_active
logp_pi_interaction,0.7512,0.8792,0.7061
logp,0.6016,0.765,0.5548
protein_pi,0.2956,0.3337,0.3078
mw_ratio,-0.066,-0.0536,-0.0391
protein_length,0.0541,0.0486,0.0174
hydrophobicity,0.0284,0.0227,0.0361
rotatable_bonds,0.0241,0.0245,0.0032
h_bond_donors,-0.0141,-0.021,-0.0018
polar_surface_area,0.0132,0.0261,0.0416
molecular_weight,-0.0109,-0.0235,-0.0345
h_bond_acceptors,-0.0101,0.0054,-0.0214
binding_site_size,-0.0083,-0.0009,0.0057
compound_clogp,0.0001,0.0053,-0.0112
