rank,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,mcc,cohen_kappa,cv_roc_auc_mean,cv_roc_auc_std,overfit_gap_auc,train_seconds,predict_seconds
1,Gradient Boosting,0.8925,0.85366788536384,0.8761904761904762,0.7540983606557377,0.8105726872246696,0.9533848331171129,0.9153455592928761,0.7401543180445558,0.7361153728137465,0.9426542274703313,0.008564035602450006,0.04430450792949925,8.947193200001493,0.0082987999994657
2,Logistic Regression,0.8875,0.8477709635570232,0.8666666666666667,0.7459016393442623,0.801762114537445,0.9583087628258049,0.9274229341604439,0.7278132706407283,0.7238416692236882,0.9415222299538459,0.012507575321829814,-0.00997627913525212,0.10589739999704761,0.0014063999988138676
3,Random Forest,0.8875,0.8477709635570232,0.8666666666666667,0.7459016393442623,0.801762114537445,0.9521169949286472,0.9150941491297059,0.7278132706407283,0.7238416692236882,0.9403134781020025,0.011450515420294353,0.04707953852880786,0.9914804999971238,0.1058625999976357
4,LightGBM,0.89,0.8495695247081023,0.875,0.7459016393442623,0.8053097345132743,0.9416794433305815,0.8972017773225683,0.7338433242527453,0.7293307086614174,0.9387914756430181,0.01123787060408394,0.05832055666941849,0.5896905000008701,0.006146499999886146
5,XGBoost,0.89,0.8541691237174195,0.8611111111111112,0.7622950819672131,0.808695652173913,0.9416794433305814,0.9105417669490024,0.7345810191740608,0.7319034852546917,0.9385521423789914,0.00987961180409493,0.05831501552084928,0.6039920000002894,0.003877300001477124
6,Extra Trees,0.895,0.8531666470102607,0.8921568627450981,0.7459016393442623,0.8125000000000002,0.9552128788772261,0.9219084928642588,0.7461115674615963,0.7403881814810236,0.9377766998156385,0.013206431897044273,0.04476495652849688,0.8561816000001272,0.1535598000009486
7,Support Vector Machine,0.8975,0.8526654086566812,0.9090909090909091,0.7377049180327869,0.8144796380090498,0.941502535676377,0.9085698037312536,0.7524789019376864,0.7447232426374448,0.929439790864862,0.01635648309578548,0.02121476970001479,0.2600419000009424,0.027152900001965463
8,Gaussian Naive Bayes,0.89,0.8656681212407124,0.8305084745762712,0.8032786885245902,0.8166666666666667,0.9501415261233636,0.9032359758449859,0.7383356721754308,0.7381264135221998,0.9130029662559036,0.017402703638234464,-0.034690218042891297,0.007152700000006007,0.0015640999990864657
9,K-Nearest Neighbors,0.8675,0.7988854817785116,0.9156626506024096,0.6229508196721312,0.7414634146341463,0.9237822856468922,0.8909600782696203,0.6786853138821808,0.6566690419122887,0.9060975894392882,0.014325339768171384,0.07621771435310776,0.013325200001418125,0.4033272000015131
10,Decision Tree,0.8925,0.8628670833824743,0.8495575221238938,0.7868852459016393,0.8170212765957446,0.8703266894680977,0.8220806262530167,0.7421637070401803,0.7410730414885289,0.8931496271740432,0.018326978388392357,0.11084356416874286,0.12110649999885936,0.0021373000017774757
