feature,importance_mean,importance_std
logp_pi_interaction,0.42219208239965406,0.026681188336566335
mw_per_residue_exact,0.005552934701419243,0.0018552877691043986
compound_clogp,0.003286551086999297,0.001846212697590344
tpsa_over_mw,0.0026536148130675693,0.0010196731021223356
logp_squared,0.0016707945119314616,0.0010968732496062703
clogp_minus_logp,0.0016452411841019051,0.0022270595255022476
hydrophobicity,0.0011892125643747568,0.000933047998575376
protein_length,0.0008019813657271114,0.0003776179263756755
drug_like,0.0007842906003066475,0.000597677583002261
rotatable_bonds,0.0006899398513976029,0.000830594223173421
hba_to_hbd_ratio,0.0006270393521248993,0.00040390925153254196
polar_surface_area,0.0005248260408067251,0.0007200686443540676
molecular_weight,0.0004914101505680686,0.0003232866337106787
protein_id_encoded,0.00040492196406810197,0.0004383158174231651
logp_x_pi_exact,0.0003636435114203751,0.0018227329237499117
flexibility_index,0.0003380901835908556,0.0007299543403718599
logp_x_hydrophobicity,0.0002830522467272371,0.00011833091121822245
binding_site_size,0.0002751896843181371,0.00014590827188658786
hbond_total,0.00016118252938635003,8.671126705237617e-05
lipophilic_site_fit,0.00014545740456815744,7.798417433219075e-05
logp,6.486613987498983e-05,0.00010830661881475737
h_bond_acceptors,3.7347171443154656e-05,2.0045679575383243e-05
site_per_residue,-5.896921806776886e-06,0.0001354153764174237
protein_pi,-2.1622046624984273e-05,3.950888713730339e-05
h_bond_donors,-0.00015331996697723522,0.0002595538914218558
lipinski_violations,-0.0007764280378975623,0.0007242792168964837
mw_ratio,-0.0007882218815111752,0.000896995703760693
