rank,model,rmse,mae,median_ae,r2,spearman,cv_r2_mean,cv_r2_std,overfit_gap_r2,train_seconds
1,Lasso,0.738795431021331,0.337941330206384,0.21170691737366232,0.6159734573331691,0.9078345489659309,0.5535040606942191,0.04851261977092681,-0.05672438390686352,0.01606990000072983
2,ElasticNet,0.7386186321157983,0.33724024536070346,0.2050782650022147,0.6161572358073129,0.9067147919674498,0.55090006281346,0.046323874045275666,-0.05548696997279068,0.010439800000312971
3,Ridge,0.7390916400922329,0.33695167777000784,0.2022325092260684,0.6156654561078081,0.905375846099038,0.5432859389091619,0.04210874146163428,-0.053131261618830194,0.027079499999672407
4,Linear Regression,0.73922032659109,0.3370437639012734,0.2032757448010587,0.6155316080979181,0.9051662197888737,0.5432276791757962,0.0422040146127952,-0.052994071932588094,0.12355310000202735
5,Random Forest,0.7760577800540341,0.3910153746742137,0.25196228511877417,0.5762585437493177,0.8846989668685429,0.5118269961665577,0.050043120523840974,0.25505923390409335,3.575669399997423
6,XGBoost,0.7998963822419749,0.4020672846826073,0.24121858767287785,0.5498261065867434,0.8708977556109726,0.47239084763156747,0.03562338839158237,0.38444770762566793,0.9696382000001904
7,Support Vector Regression,0.7936655999215749,0.41439924768858405,0.28035240776756165,0.5568120390000644,0.8681744885905536,0.45379070478270195,0.04659862246137205,0.19792996750177216,0.47928310000133933
8,LightGBM,0.7962337360574853,0.4452038225543889,0.3235663155021249,0.5539392712924887,0.8680346127163293,0.45012369684083336,0.04786104410497364,0.426341054739359,0.9888948999978311
9,Decision Tree,0.8488349428258927,0.46920866500890396,0.29448591079703546,0.49305675662474135,0.8412989477420831,0.4435617899146109,0.028981238962862827,0.16622815861025197,0.052588300000934396
10,K-Nearest Neighbors,0.8470081510982775,0.47082034962427083,0.320127589583747,0.49523641055024903,0.8247216545103406,0.4211912265469909,0.0384056212463015,0.5047635894497211,0.008674600001540966
