feature,importance_mean,importance_std
logp_pi_interaction,1.2677941133656627,0.07318763085846063
mw_per_residue_exact,0.05566034879951344,0.0075512441458078635
logp_x_hydrophobicity,0.020976604378596928,0.003909740333968026
logp_x_pi_exact,0.015064583955187335,0.004667123449255307
mw_ratio,0.011813583032625549,0.004102335740646141
protein_pi,0.008871345730873774,0.0025504312620573543
clogp_minus_logp,0.00824486318154413,0.003520142127056961
polar_surface_area,0.007606744068245101,0.001823061465909728
tpsa_over_mw,0.005830146381556626,0.0031072061646542923
lipinski_violations,0.004008636354961322,0.001047425735669642
site_per_residue,0.004006256567703259,0.001420170783373974
rotatable_bonds,0.0037534137929498296,0.0021934374641423846
compound_clogp,0.0028712306518126505,0.0026644204354701515
molecular_weight,0.0018209146631403383,0.002600875581772091
binding_site_size,0.0014007665709497186,0.0013790858401137175
h_bond_donors,0.0010350193266482307,0.0008926854035688357
logp_squared,0.0009891532622332037,0.0029543641780119525
flexibility_index,0.0009228134600858917,0.0020508075106838515
h_bond_acceptors,0.0006932275001541181,0.000570370078913653
hydrophobicity,0.0005697883768542633,0.000694509632500013
protein_length,0.00027728678495885596,0.0001501127288805062
protein_id_encoded,0.00021139222938446612,0.0008191245945949793
hbond_total,4.5954589741007785e-05,0.00023735001837884266
drug_like,-0.00018325877159806048,0.000902703767772781
lipophilic_site_fit,-0.0009445333798575003,0.002428910211676045
logp,-0.0011054215063663589,0.001125903650727403
hba_to_hbd_ratio,-0.0019840920088955325,0.0018772020360921294
